END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
SKU,EOL,YEAR,MAKE,SERIES,MODEL,A,B,C,IOS,BASE,USERS,SLOTS,RU,POE(W),HEIGHT,WIDTH,DEPTH,LAN,TP,WAN,TP,LAN/WAN,RJ-45,SFP,PVDM,VPN,USB,BRI VOICE,FXS,FXO,DSP,KPPS,MPPS,RAM MIN,RAM MAX,FLASH MIN,FLASH MAX,MIN,MAX,SRST,CUCM,CCME,CUBE,CUE,TCP,IPSEC,T1/E1,SECURITY,VOICE,QoS,3G/4G,GPS,RPS,EXTERNAL,WIRELESS,PRICE,NOTES,DATASHEET
RV130-WB-K9-G5,OK,2016,Cisco,RV,RV130,Small Business,RV,,Linux,,,,,,,,,4,10/100/1000,1,10/100/1000,,,,,,1,,,,,,,,,,,50,800,,,,,,,10,,YES,,,4G,,,,,$223,,http://www.cisco.com/c/en/us/products/collateral/routers/small-business-rv-series-routers/datasheet-c78-731521.html
CISCO1921/K9,OK,2016,Cisco,1900,1921,Branch,ISR,ISR,15M,IOS Security,,,1,,,,,2,10/100/1000,2,,,2,,,,,,,,,,,512,512,256,256,25,50,,,,,,,,,YES,,,,,,,,"$1,278",CE,http://www.cisco.com/c/en/us/products/collateral/routers/1900-series-integrated-services-routers-isr/data_sheet_c78-598389.html
CISCO1941/K9,OK,2016,Cisco,1900,1941,Branch,ISR,ISR,15M,IP Base,,,2,80,,,,2,10/100/1000,2,,,2,,,,,,,,,,,512,2000,256,8000,25,50,,,,,,,,,YES,,,,,,,,"$1,595",CE,http://www.cisco.com/c/en/us/products/collateral/routers/1900-series-integrated-services-routers-isr/data_sheet_c78_556319.html
C819G-4G-GA-K9,OK,2016,Cisco,810,819G,Small Business,Wireless Router,ISR,15.4(3)M1,,20,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,1000,1000,1000,1000,50,100,,,,,,,20,,YES,,YES,4G,YES,,,,"$1,979",Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/819-integrated-services-router-isr/datasheet_c78-732558.html
CISCO2901/K9,OK,2016,Cisco,2900,2901,Branch,ISR,ISR,15.0(1)M,IP Base,,,1,130,,,,2,10/100/1000,4,10/100/1000,,2,,,,2,,,,2,,,512,2000,256,8000,35,50,35,,35,100,,,,,YES,YES,YES,,,,,YES,"$1,995",CE,http://www.cisco.com/c/en/us/products/routers/2901-integrated-services-router-isr/index.html
L-CSR-10M-IPB=,OK,2016,Cisco,1000V,IP Base,Virtual,,,XE 3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10000,,,,,,,,,YES,,YES,,,,,,"$1,173",,http://www.cisco.com/c/en/us/products/collateral/routers/cloud-services-router-1000v-series/datasheet-c78-733443.html
IR809G-LTE-GA-K9,OK,2016,Cisco,800,809,Industrial,ISR,ISR,15.5(3)M,Advanced IP Services,,,,,,,,2,10/100/1000,2,,,,,,,,,,,,,,2000,2000,8000,8000,50,100,,,,,,,20,,,YES,YES,4G,YES,,,YES,"$2,027",,http://www.cisco.com/c/en/us/products/collateral/routers/809-industrial-router/datasheet-c78-734980.html
CISCO1941W-A/K9,OK,2016,Cisco,1900,1941W,Branch,ISR,Wireless Router,,IP Base,,,,,,,,2,10/100/1000,2,,,2,,,,,,,,,,,512,2000,256,8000,25,25,,,,,,,,,YES,,,,,,,YES,"$2,095",Wireless Router,http://www.cisco.com/c/en/us/products/routers/1941w-integrated-services-router-isr/index.html
ISR4321/K9,OK,2016,Cisco,4000,4321,Branch,ISR,ISR,,,,,1,120,,,,,,2,,2,2,1,1,,1,,,,,,,4000,8000,4000,8000,50,100,50,50,,100,,,,240,YES,YES,YES,,,NO,,,"$2,202",,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html?cachemode=refresh
C819GW-LTE-GA-EK9,OK,2016,Cisco,810,819GW,Small Business,Wireless Router,ISR,15.5(2)T1,,20,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,1000,1000,1000,1000,50,100,,,,,,,20,,YES,YES,YES,4G,YES,,,YES,"$2,448",Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/819-integrated-services-router-isr/datasheet-C78-734216.html
CISCO3825,EOL,2011,Cisco,3800,3825,Branch,ISR,Router,,,,,,,,,,2,,4,,,2,1,?,2000,,,,,,,,512,1000,128,512,,,730,250,,,250,,,24,YES,?,,,,YES,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016a8e8.html
CISCO3845,EOL,2011,Cisco,3800,3845,Branch,ISR,Router,,,,,,,,,,2,,4,,,2,1,?,2000,,,,,,,,512,1000,128,512,,,730,250,,,250,,,24,YES,?,,,,YES,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016a8e8.html
C819GW-LTE-MNA-EK9,OK,2016,Cisco,810,819GW,Small Business,Wireless Router,ISR,15.5(3)M,,20,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,1000,1000,1000,1000,50,100,,,,,,,20,,YES,YES,YES,4G,YES,,,YES,"$2,483",Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/819-integrated-services-router-isr/datasheet-C78-734216.html
CISCO2911/K9,OK,2016,Cisco,2900,2911,Branch,ISR,ISR,15.0(1)M,IP Base,,,2,200,,,,3,10/100/1000,3,10/100/1000,,3,,,,2,,,,2,,,512,2000,256,8000,50,50,50,,50,200,,,,,YES,YES,YES,,,,,YES,"$2,695",,http://www.cisco.com/c/en/us/products/routers/2911-integrated-services-router-isr/index.html
IR829GW-LTE-GA-EK9,OK,2016,Cisco,800,829,Industrial,ISR,ISR,15.5(3)M,,,,,30,,,,4,10/100/1000,2,,,,1,,,,,,,,,,2000,2000,8000,8000,50,100,,,,,,,20,,,YES,YES,4G,YES,,,YES,"$3,197",,http://www.cisco.com/c/en/us/products/collateral/routers/829-industrial-router/datasheet-c78-734981.html
ISR4331/K9,OK,2016,Cisco,4000,4331,Branch,ISR,ISR,,,,,1,250,,,,,10/100/1000,2,,3,2,2,1,,1,,,,,,,4000,16000,4000,16000,150,150,100,100,,400,,,,360,YES,YES,YES,,,NO,,,"$3,642",CE,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html
CISCO2801,EOL,2011,Cisco,2800,2801,Branch,ISR,Router,,,,,,120,,,,2,10/100,2,,,,,?,,1,,,,2,,,128,384,64,128,,,,,,,,,,,YES,,,,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016fa68.html
