"MAKE","Type","EOL","Year","Layer","BASE","Uplinks","Series","Product","Ports","PoE Usage (WATTS)","MBPS per device","PoE (WATTS)","MBPS","Part Code","Price ($)","Datasheet",,,,,,,,,,,,,,,,
"BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","BLANK",0,0,0,0,0,"BLANK",0,"BLANK",,,,,,,,,,,,,,,,
"Avaya","IP Phone","OK",2016,,,,,"1120E",,6.49,1000,,,"1120E",,"http://www.avaya.com/uk/product/1100-series-ip-deskphones/",,,,,,,,,,,,,,,,
"Cisco","IP Phone","EOL",2013,,,,6900,6961,,6.49,100,,,"CP-6961-C-K9=",,"http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/unified-ip-phone-6961/data_sheet_c78-541539.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","EOL",2013,,,,6900,6945,,3.84,100,,,"CP-6945-C-K9=",,"http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/unified-ip-phone-6900-series/data_sheet_c78-637812.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","EOL",2013,,,,6900,6941,,6.49,100,,,"CP-6941-C-K9=",,"http://www.cisco.com/c/en/us/products/collaboration-endpoints/unified-ip-phone-6941/index.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","EOL",2013,,,,6900,6921,,6.49,100,,,"CP-6921-C-K9=",,"http://www.cisco.com/c/en/us/products/collaboration-endpoints/unified-ip-phone-6921/index.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","EOL",2013,,,,6900,6911,,3.84,100,,,"CP-6911-C-K9=",,"http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/unified-ip-phone-6911/data_sheet_c78-584413.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","OK",2017,,,,6900,6901,,3.84,100,,,"CP-6901-C-K9=",117,"http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/unified-ip-phone-6901/data_sheet_c78-584412.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","EOL",2010,,,,7900,"7985G",,12.94,100,,,"CP-7985-PAL",,"http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/unified-ip-phone-7985g/product_data_sheet0900aecd8030e546.html",,,,,,,,,,,,,,,,
"Cisco","IP Phone","OK",2017,,,,7900,"7975G",,12.95,1000,,,"CP-7975G",12256,"http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/unified-ip-phone-7975g/product_data_sheet0900aecd8069bdb7.html",,,,,,,,,,,,,,,,
